date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:21	3357/3357	---M--	200	added ('OK')	image/jpeg	etag:%22d1d-67467e98-5bc9819ddd4a0564;;;%22	https://blackfridaysupplements.store/images/3943396ecee6e419740cd1c85b4cf284.jpg	C:/Meus%20Sites/Growth/blackfridaysupplements.store/images/3943396ecee6e419740cd1c85b4cf284.jpg	(from https://blackfridaysupplements.store/)
15:21:21	4161/4161	---M--	200	added ('OK')	image/jpeg	etag:%221041-67467e98-f7fa841c3022b75f;;;%22	https://blackfridaysupplements.store/images/8ae2fbcb504a01d6acf77573f1cf60b3.jpg	C:/Meus%20Sites/Growth/blackfridaysupplements.store/images/8ae2fbcb504a01d6acf77573f1cf60b3.jpg	(from https://blackfridaysupplements.store/)
15:21:22	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-6845c2975318fb5f;gz%22	https://blackfridaysupplements.store/69584aa89e538370328321efbd9d8f16.html	C:/Meus%20Sites/Growth/blackfridaysupplements.store/69584aa89e538370328321efbd9d8f16.html	(from https://blackfridaysupplements.store/)
15:21:22	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-6845c2975318fb5f;gz%22	https://blackfridaysupplements.store/ca2fa0388bd917c4405a4149064687d5.html	C:/Meus%20Sites/Growth/blackfridaysupplements.store/ca2fa0388bd917c4405a4149064687d5.html	(from https://blackfridaysupplements.store/)
15:21:22	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-6845c2975318fb5f;gz%22	https://blackfridaysupplements.store/8dc0b8b755c6f878441f01f37dca67fa.html	C:/Meus%20Sites/Growth/blackfridaysupplements.store/8dc0b8b755c6f878441f01f37dca67fa.html	(from https://blackfridaysupplements.store/)
15:21:22	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-6845c2975318fb5f;gz%22	https://blackfridaysupplements.store/cdcafd7cca2d4220ab8ec1cadae5423c.html	C:/Meus%20Sites/Growth/blackfridaysupplements.store/cdcafd7cca2d4220ab8ec1cadae5423c.html	(from https://blackfridaysupplements.store/)
15:21:23	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-6845c2975318fb5f;gz%22	https://blackfridaysupplements.store/0dccd0c334a269598545e6bdfcabc2db.html	C:/Meus%20Sites/Growth/blackfridaysupplements.store/0dccd0c334a269598545e6bdfcabc2db.html	(from https://blackfridaysupplements.store/)
15:21:23	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-6845c2975318fb5f;gz%22	https://blackfridaysupplements.store/63bce759184c7f5f5bc50503906bd610.html	C:/Meus%20Sites/Growth/blackfridaysupplements.store/63bce759184c7f5f5bc50503906bd610.html	(from https://blackfridaysupplements.store/)
15:21:23	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-6845c2975318fb5f;gz%22	https://blackfridaysupplements.store/ea087429fcdd4baf6f5d098b28b02987.html	C:/Meus%20Sites/Growth/blackfridaysupplements.store/ea087429fcdd4baf6f5d098b28b02987.html	(from https://blackfridaysupplements.store/)
15:21:23	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-6845c2975318fb5f;gz%22	https://blackfridaysupplements.store/97408f60ce423ae7e74d483c390e7f2a.html	C:/Meus%20Sites/Growth/blackfridaysupplements.store/97408f60ce423ae7e74d483c390e7f2a.html	(from https://blackfridaysupplements.store/)
15:21:23	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-6845c2975318fb5f;gz%22	https://blackfridaysupplements.store/6f495bb382d2ac047deb9e4ecbf19ecc.html	C:/Meus%20Sites/Growth/blackfridaysupplements.store/6f495bb382d2ac047deb9e4ecbf19ecc.html	(from https://blackfridaysupplements.store/)
15:21:24	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-6845c2975318fb5f;gz%22	https://blackfridaysupplements.store/8c34943e64f57575d79507c6408e7ff6.html	C:/Meus%20Sites/Growth/blackfridaysupplements.store/8c34943e64f57575d79507c6408e7ff6.html	(from https://blackfridaysupplements.store/)
15:21:24	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-6845c2975318fb5f;gz%22	https://blackfridaysupplements.store/9bff61dea4ca7c4eb376533e610ec8e6.html	C:/Meus%20Sites/Growth/blackfridaysupplements.store/9bff61dea4ca7c4eb376533e610ec8e6.html	(from https://blackfridaysupplements.store/)
15:21:24	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-6845c2975318fb5f;gz%22	https://blackfridaysupplements.store/dec9229c4ae645f26af354ddab193397.html	C:/Meus%20Sites/Growth/blackfridaysupplements.store/dec9229c4ae645f26af354ddab193397.html	(from https://blackfridaysupplements.store/)
15:21:24	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-6845c2975318fb5f;gz%22	https://blackfridaysupplements.store/f26cf3e3b092a77d0fef0a2d30f37f83.html	C:/Meus%20Sites/Growth/blackfridaysupplements.store/f26cf3e3b092a77d0fef0a2d30f37f83.html	(from https://blackfridaysupplements.store/)
15:21:25	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-6845c2975318fb5f;gz%22	https://blackfridaysupplements.store/3bb7519754147e743c85e957ee180521.html	C:/Meus%20Sites/Growth/blackfridaysupplements.store/3bb7519754147e743c85e957ee180521.html	(from https://blackfridaysupplements.store/)
